source	source_sha256	source_rows	output	transformation	output_sha256
profile_phenotype_discovery/qa/minimum_n_sensitivity.tsv	4ed54c0a5372efa96924dc524e1cf4c97626d8eb1a2c3257577997feb0d479f5	318	supplementary/TableS2c_minimum_n_sensitivity.tsv	Byte-for-byte copy; no filtering or rounding	4ed54c0a5372efa96924dc524e1cf4c97626d8eb1a2c3257577997feb0d479f5
profile_gwas_call90_maf10/inputs/line_phenotypes.tsv	37f6aa0fce0151ed2926e6bab282c9344bab4012f6c5d5f1632ce16c33f4b65d	1056	supplementary/TableS3a_six_primary_line_estimates.tsv	Byte-for-byte copy; no filtering or rounding	37f6aa0fce0151ed2926e6bab282c9344bab4012f6c5d5f1632ce16c33f4b65d
profile_phenotype_discovery/data/line_phenotypes_batchFE.tsv	89a82e66b2b9729e33d7f6f7189a77e628cf07fe07f2db0a9154fb4f52ea8e19	17517	supplementary/TableS3b_all_batch_adjusted_line_estimates.tsv	Byte-for-byte copy; no filtering or rounding	89a82e66b2b9729e33d7f6f7189a77e628cf07fe07f2db0a9154fb4f52ea8e19
profile_phenotype_discovery/data/line_batch_phenotypes.tsv	a6e8d716eb3e5723ef9235876ffd3cabcbe72d9d8953b678769d65286deb8c59	30316	supplementary/TableS3c_all_line_batch_estimates.tsv	Byte-for-byte copy; no filtering or rounding	a6e8d716eb3e5723ef9235876ffd3cabcbe72d9d8953b678769d65286deb8c59
profile_gwas_call90_maf10/results/gwas_summary.tsv	49bda79156de8ff39bdca6029ab858c121a0e228ffff1a8a9cc08dbfeb024475	36	supplementary/TableS4a_all_36_scan_summaries.tsv	Byte-for-byte copy; no filtering or rounding	49bda79156de8ff39bdca6029ab858c121a0e228ffff1a8a9cc08dbfeb024475
profile_gwas_call90_maf10/results/all_nominal_hits.tsv	07fdbc98d2ebd5b3cadfa9b62ba146843b31b9a15ea444de119611dd39e534e0	311	supplementary/TableS4b_all_nominal_associations.tsv	Byte-for-byte copy; no filtering or rounding	07fdbc98d2ebd5b3cadfa9b62ba146843b31b9a15ea444de119611dd39e534e0
profile_gwas_call90_maf10/qa/testing_thresholds.tsv	9ccd0b3b1a783ba154d1ff02480ee2d87ffee4043b9036d94ed786abbbcb0acf	1	supplementary/TableS4c_testing_thresholds.tsv	Byte-for-byte copy; no filtering or rounding	9ccd0b3b1a783ba154d1ff02480ee2d87ffee4043b9036d94ed786abbbcb0acf
profile_gwas_call90_maf10/results/primary_leads_annotated.tsv	3758617b8ecc95ed7a53534f8b98492e2a129bd24024dd456222d71706ee4813	60	supplementary/TableS5a_60_annotated_candidates.tsv	Byte-for-byte copy; no filtering or rounding	3758617b8ecc95ed7a53534f8b98492e2a129bd24024dd456222d71706ee4813
profile_gwas_call90_maf10/results/lead_annotations_all_effects.tsv	d521d52fb5c4461878965af8c16e95e76a588eae1d9016a37fa29db7770e9431	382	supplementary/TableS5b_all_annotation_effects.tsv	Byte-for-byte copy; no filtering or rounding	d521d52fb5c4461878965af8c16e95e76a588eae1d9016a37fa29db7770e9431
profile_gwas_call90_maf10/results/lead_sensitivity.tsv	439d36c5a0173cfca0638136a188e2f2c3bce5a0489cf27e726674bc16684433	360	supplementary/TableS5c_candidate_sensitivities.tsv	Byte-for-byte copy; no filtering or rounding	439d36c5a0173cfca0638136a188e2f2c3bce5a0489cf27e726674bc16684433
profile_gwas_call90_maf10/results/lead_leave_one_line_out.tsv	47e4c47e818cbba196d3975d30d01d75293cc52e3970b9a0f22eeba312ca8c8a	10560	supplementary/TableS5d_leave_one_line_out.tsv	Byte-for-byte copy; no filtering or rounding	47e4c47e818cbba196d3975d30d01d75293cc52e3970b9a0f22eeba312ca8c8a
profile_gwas_call90_maf10/results/lead_missingness_diagnostics.tsv	ebf2a5add4b2b5a068b61cdb5b86308d1302caf6b25ec733ec0084fb9dd318fa	60	supplementary/TableS5e_missingness_diagnostics.tsv	Byte-for-byte copy; no filtering or rounding	ebf2a5add4b2b5a068b61cdb5b86308d1302caf6b25ec733ec0084fb9dd318fa
manuscript_readiness/baseline/time_window_common_fly_cohort_agreement.tsv	84a6b4b597cd70cd1b9de99c430ed5d1e030adf810651a828149fb2084755b96	9	supplementary/TableS6a_common_cohort_window_agreement.tsv	Byte-for-byte copy; no filtering or rounding	84a6b4b597cd70cd1b9de99c430ed5d1e030adf810651a828149fb2084755b96
manuscript_readiness/baseline/time_window_repeatability.tsv	0f5760209b2399daea8c46dbc840a9316ba03fe377d45ef0d00f1c1404803ed6	18	supplementary/TableS6b_window_repeatability.tsv	Byte-for-byte copy; no filtering or rounding	0f5760209b2399daea8c46dbc840a9316ba03fe377d45ef0d00f1c1404803ed6
manuscript_readiness/baseline/baseline_change_associations.tsv	ea6c88248a9ba455d7ec51dacda7a962a0c59b1c52849b8b973b1ee240da6373	6	supplementary/TableS6c_baseline_change_associations.tsv	Byte-for-byte copy; no filtering or rounding	ea6c88248a9ba455d7ec51dacda7a962a0c59b1c52849b8b973b1ee240da6373
manuscript_readiness/baseline/independent_fly_split_summary.tsv	e9f553f172b4b639344f3ae8486d889acda4cf97347018ec0b24c9aa94a12309	24	supplementary/TableS6d_independent_fly_splits.tsv	Byte-for-byte copy; no filtering or rounding	e9f553f172b4b639344f3ae8486d889acda4cf97347018ec0b24c9aa94a12309
manuscript_readiness/provenance/repeatability_nonoverlapping_calendar_sensitivity.tsv	10cd3d73ab4889905329a98adb57652e77172d4971936df0b5b5917ca2c08d11	6	supplementary/TableS6e_nonoverlapping_calendar_repeatability.tsv	Byte-for-byte copy; no filtering or rounding	10cd3d73ab4889905329a98adb57652e77172d4971936df0b5b5917ca2c08d11
manuscript_readiness/qc/cohort_counts.tsv	346b2ea8518918664548e5a7b38090214cc5d394c624639446355da1484587ee	7	supplementary/TableS7a_cohort_counts.tsv	Byte-for-byte copy; no filtering or rounding	346b2ea8518918664548e5a7b38090214cc5d394c624639446355da1484587ee
manuscript_readiness/qc/concordance.tsv	3cc990741dfebb0fb2717df7d24ee53a8f64e757645fd90c11e5d0e83515b869	72	supplementary/TableS7b_phenotype_concordance.tsv	Byte-for-byte copy; no filtering or rounding	3cc990741dfebb0fb2717df7d24ee53a8f64e757645fd90c11e5d0e83515b869
manuscript_readiness/qc/repeatability.tsv	76f83668de42579b984015bffa3bb495b44ad5efc80824bd36fdd863324a0480	42	supplementary/TableS7c_repeatability.tsv	Byte-for-byte copy; no filtering or rounding	76f83668de42579b984015bffa3bb495b44ad5efc80824bd36fdd863324a0480
manuscript_readiness/candidate_qc/candidate_robustness_summary.tsv	6d83d1eed48f08ea4697285e3683c64611a5bf2bf3ce22f1cec9ceed45fb901a	60	supplementary/TableS7d_candidate_robustness.tsv	Byte-for-byte copy; no filtering or rounding	6d83d1eed48f08ea4697285e3683c64611a5bf2bf3ce22f1cec9ceed45fb901a
manuscript_readiness/candidate_qc/candidate_comparisons.tsv	be452b8b7ccef73f22bedb85fb0ef7dfd6c9400240a356cf1827be9e309cd269	360	supplementary/TableS7e_candidate_comparisons.tsv	Byte-for-byte copy; no filtering or rounding	be452b8b7ccef73f22bedb85fb0ef7dfd6c9400240a356cf1827be9e309cd269
profile_phenotype_discovery/pca/variance_explained.tsv	f4d0133a5b0c240dcb52ec2ae63446815342892d148b6b2f2e912feaf02db1dd	288	supplementary/TableS8a_variance_explained.tsv	Byte-for-byte copy; no filtering or rounding	f4d0133a5b0c240dcb52ec2ae63446815342892d148b6b2f2e912feaf02db1dd
profile_phenotype_discovery/pca/loadings.tsv	6df428862310dde37107a74f96fefd0584aafdc1001d14d3fa8b555a932778d8	864	supplementary/TableS8b_loadings.tsv	Byte-for-byte copy; no filtering or rounding	6df428862310dde37107a74f96fefd0584aafdc1001d14d3fa8b555a932778d8
profile_phenotype_discovery/pca/scalar_interpretation_correlations.tsv	c1686b1bbb75ff4edd150dafc3c0e3f815c54dd38db1fe312a52b069cd3bdb3a	1494	supplementary/TableS8c_scalar_correlations.tsv	Byte-for-byte copy; no filtering or rounding	c1686b1bbb75ff4edd150dafc3c0e3f815c54dd38db1fe312a52b069cd3bdb3a
manuscript_readiness/pca/pca_bootstrap_summary.tsv	51778bf61ed0016d8b37dd97cd5a36f1c7579711d58b581ee62080bb933271e9	52	supplementary/TableS8d_bootstrap_stability.tsv	Byte-for-byte copy; no filtering or rounding	51778bf61ed0016d8b37dd97cd5a36f1c7579711d58b581ee62080bb933271e9
manuscript_readiness/pca/PC1_loading_bootstrap_intervals.tsv	5f4e422822e81d6a6f291ccb88b46e0573b55bf6e33039c9a34cff9d010aefe0	192	supplementary/TableS8e_PC1_loading_intervals.tsv	Byte-for-byte copy; no filtering or rounding	5f4e422822e81d6a6f291ccb88b46e0573b55bf6e33039c9a34cff9d010aefe0
manuscript_readiness/pca/conditional_selection_summary.tsv	13718527a8ff2362aa2d526f2e310427a61a87f59235c639d1a82006950ff902	51	supplementary/TableS8f_conditional_selection.tsv	Byte-for-byte copy; no filtering or rounding	13718527a8ff2362aa2d526f2e310427a61a87f59235c639d1a82006950ff902
